Date,Close/Last,Volume,Open,High,Low
02/26/2020,$155.76,70769200,$156.5,$162.662,$155.222
02/25/2020,$159.982,86452400,$169.8,$171.32,$157.4
02/24/2020,$166.758,75960800,$167.8,$172.7,$164.44
02/21/2020,$180.2,71697250,$181.396,$182.612,$176.09
02/20/2020,$179.882,88174450,$182.39,$182.4,$171.988
02/19/2020,$183.484,127114800,$184.7,$188.956,$180.204
02/18/2020,$171.68,83491850,$168.32,$172,$166.472
02/14/2020,$160.006,78468550,$157.444,$162.594,$157.1
02/13/2020,$160.8,131446750,$148.368,$163.6,$147
02/12/2020,$153.458,60112350,$155.574,$157.95,$152.674
02/11/2020,$154.876,58487350,$153.758,$156.7012,$151.6
02/10/2020,$154.256,123445800,$160,$163.998,$150.48
02/07/2020,$149.614,85317600,$146.11,$153.95,$146
02/06/2020,$149.792,199403750,$139.984,$159.166,$137.4
02/05/2020,$146.94,242119200,$164.652,$169.196,$140.8221
02/04/2020,$177.412,304693800,$176.592,$193.798,$166.776
02/03/2020,$156,236167500,$134.738,$157.228,$134.704
01/31/2020,$130.114,78596350,$128,$130.6,$126.504
01/30/2020,$128.162,145028400,$126.484,$130.176,$123.6
01/29/2020,$116.198,91083350,$115.138,$117.96,$113.486
01/28/2020,$113.38,58942450,$113.698,$115.362,$111.616
01/27/2020,$111.604,68040350,$108.398,$112.888,$107.856
01/24/2020,$112.964,71768000,$114.126,$114.772,$110.852
01/23/2020,$114.44,98255200,$112.85,$116.4,$111.1205
01/22/2020,$113.912,156845150,$114.378,$118.9,$111.82
01/21/2020,$109.44,89017350,$106.05,$109.716,$105.682
01/17/2020,$102.1,68145350,$101.522,$103.134,$100.632
01/16/2020,$102.698,108683250,$98.75,$102.892,$98.434
01/15/2020,$103.7,86844150,$105.952,$107.568,$103.3571
01/14/2020,$107.584,145306900,$108.851,$109.482,$104.98
01/13/2020,$104.972,133172750,$98.7,$105.126,$98.4
01/10/2020,$95.63,64884150,$96.358,$96.988,$94.74
01/09/2020,$96.268,142315950,$99.42,$99.76,$94.574
01/08/2020,$98.428,155996950,$94.74,$99.698,$93.646
01/07/2020,$93.812,91045700,$92.28,$94.326,$90.671
01/06/2020,$90.308,50787500,$88.094,$90.312,$88
01/03/2020,$88.602,88973500,$88.1,$90.8,$87.384
01/02/2020,$86.052,47791930,$84.9,$86.1391,$84.342
12/31/2019,$83.666,51462300,$81,$84.258,$80.416
12/30/2019,$82.94,63006350,$85.758,$85.8,$81.8518
12/27/2019,$86.076,49784135,$87,$87.062,$85.222
12/26/2019,$86.188,53241450,$85.582,$86.696,$85.27
12/24/2019,$85.05,40273600,$83.672,$85.094,$82.5375
12/23/2019,$83.844,66664100,$82.356,$84.402,$82
12/20/2019,$81.118,73926050,$82.058,$82.6,$80.037
12/19/2019,$80.808,90601550,$79.464,$81.37,$79.3
12/18/2019,$78.63,70681950,$76.126,$79.044,$76.116
12/17/2019,$75.798,42518875,$75.798,$77.1,$75.18
12/16/2019,$76.3,91104700,$72.51,$76.722,$72.5
12/13/2019,$71.678,32871405,$72.21,$73.042,$70.928
12/12/2019,$71.936,38881055,$70.984,$72.548,$70.646
12/11/2019,$70.54,34595810,$70.3753,$71.438,$70.218
12/10/2019,$69.768,44199755,$67.992,$70.146,$67.862
12/09/2019,$67.906,45201085,$67.318,$68.89,$67.016
12/06/2019,$67.178,38094685,$67,$67.772,$66.954
12/05/2019,$66.074,18684880,$66.566,$66.8845,$65.45
12/04/2019,$66.606,27681275,$67.55,$67.572,$66.57
12/03/2019,$67.24,33067380,$66.524,$67.582,$66.4372
12/02/2019,$66.974,30409930,$65.88,$67.2765,$65.7374
11/29/2019,$65.988,12328145,$66.222,$66.252,$65.5
11/27/2019,$66.258,27817295,$66.224,$66.786,$65.714
11/26/2019,$65.784,39781195,$67.054,$67.1,$65.42
11/25/2019,$67.268,61728850,$68.864,$68.914,$66.892
11/22/2019,$66.608,84353200,$68.032,$68.2,$66
11/21/2019,$70.966,30550065,$70.902,$72.168,$70.8008
11/20/2019,$70.444,33669825,$72,$72.24,$69.914
11/19/2019,$71.904,38680390,$70.35,$71.998,$69.56
11/18/2019,$69.998,22042525,$70.5834,$70.63,$69.22
11/15/2019,$70.434,24062815,$70.128,$70.56,$69.672
11/14/2019,$69.87,32358515,$69.222,$70.768,$68.582
11/13/2019,$69.222,42339315,$71,$71.266,$69.036
11/12/2019,$69.986,36796915,$69.38,$70.074,$68.808
11/11/2019,$69.018,49968445,$68.79,$69.838,$68.4
11/08/2019,$67.428,30371105,$66.9,$67.492,$66.5
11/07/2019,$67.108,72336750,$65.828,$68.3,$65.604
11/06/2019,$65.316,39704660,$63.6,$65.344,$62.9
11/05/2019,$63.444,34717085,$63.924,$64.702,$63.2236
11/04/2019,$63.494,43935200,$62.96,$64.388,$61.852
11/01/2019,$62.662,31919645,$63.264,$63.296,$61.96
10/31/2019,$62.984,25334780,$62.62,$63.8,$62.6
10/30/2019,$63.002,48209050,$62.6,$63.758,$61.994
10/29/2019,$63.244,63421350,$63.998,$64.86,$62.95
10/28/2019,$65.542,94351450,$65.508,$68.168,$64.52
10/25/2019,$65.626,150030450,$59.544,$66,$59.222
10/24/2019,$59.936,149096150,$59.674,$60.986,$57.84
